Nom, Vietnamese translated by hcmus
肆朕躬恢復輿圖内修政事外攘夷狄頼主帥匡扶宗社,tứ trẫm cung khôi phục dư đồ nội tu chính sự ngoại nhương di địch lại chủ soái khuông phù tông xã
功盖宇宙德配乾坤,công cái vũ trụ đức phối càn khôn
名𠃔溢國中位宜居王上,danh doãn dật quốc trung vị nghi cư vương thượng
時遣特進金紫榮禄大夫工部尚書頴川侯阮厚眷持節賫捧金冊金璽進尊封翊運賛治功臣大元帥掌國政尚,thời khiển đặc tiến kim tử vinh lộc đại phu công bộ thượng thư dĩnh xuyên hầu nguyễn hậu quyến trì tiết tê phủng kim sách kim tỉ tiến tôn phong dực vận tán trị công thần đại nguyên soái chưởng quốc chính thượng
師西王,sư tây vương
尚其祇膺重眷恪慎令名惟賛皇圖永永萬年益衍王業綿綿億載,thượng kỳ chỉ ưng trọng quyến khác thận lệnh danh duy tán hoàng đồ vĩnh vĩnh vạn niên ích diễn vương nghiệp miên miên ức tải
王其欽哉,vương kì khâm tai
冬十月上親試東閣,đông thập nguyệt thượng thân thí đông các
取中格阮登鎬胡士揚阮詹范維質裴廷員等五名除東閣大學士學士校書等職,thủ trung cách nguyễn đăng cảo hồ sĩ dương nguyễn chiêm phạm duy chất bùi đình viên đẳng ngũ danh trừ đông các đại học sĩ học sĩ hiệu thư đẳng chức
庚子三年明永曆十四年清順治十六年,canh tử tam niên minh vĩnh lịch thập tứ niên thanh thuận trị thập lục niên
夏四月禁大臣文武及諸營奇将士不得托以他故捉人畿内,hạ tứ nguyệt cấm đại thần văn võ cập chư doanh kỳ tướng sĩ bất đắc thác dĩ tha cố tróc nhân kỳ nội
五月詔脩閲户籍,ngũ nguyệt chiếu tu duyệt hộ tịch
參從楊致澤范公著等二言鄕試券塲什物供頓當從簡約以省民費,tham tòng dương trí trạch phạm công trước đẳng nhị ngôn hương thí khoán trường thập vật cung đốn đương tòng giản ước dĩ tỉnh dân phí
又上言以,hựu thượng ngôn dĩ
爲理國之術曰文與武致治之道信賞必罸,vi lí quốc chi thuật viết văn dữ vũ trí trị chi đạo tín thưởng tất phạt
其武将當折衝禦侮以衛國家如䏻嚴明約束用命效力以成事功則隨功次等第論賞,kì vũ tướng đương chiết xung ngự vũ dĩ vệ quốc gia như năng nghiêm minh ước thúc dụng mệnh hiệu lực dĩ thành sự công tắc tuỳ công thứ đẳng đệ luận thưởng
儻或逗遛恇怯行師失律則論以軍憲,thảng hoặc đậu lưu khuông khiếp hành sư thất luật tắc luận dĩ quân hiến
這此勸懲常典最已甚嚴,giá thử khuyến trừng thường điển tối dĩ thậm nghiêm
其文臣當致君澤民以飾治平,kì văn thần đương trí quân trạch dân dĩ sức trị bình
如䏻慎守廉勤履正奉公以稱職司則隨政績優次奬賞,như năng thận thủ liêm cần lí chính phụng công dĩ xứng chức ti tắc tuỳ chính tích ưu thứ tưởng thưởng
儻或奉行事務及勘問詞訟間有不改前非而枉法受賂稽留逾期勘斷失當相結朋黨偏爲恩義聽受請託多行冗弊以致󰔦政害民,thảng hoặc phụng hành sự vụ cập khám vấn từ tụng gian hữu bất cải tiền phi nhi uổng pháp thụ lộ kê lưu du kỳ khám đoạn thất đương tương kết bằng đảng thiên vi ân nghĩa thính thụ thỉnh thác đa hành nhũng tệ dĩ trí đố chính hại dân
輕者以貶罷論重者則依軍憲論以革弊風嚴國典,khinh giả dĩ biếm bãi luận trọng giả tắc y quân hiến luận dĩ cách tệ phong nghiêm quốc điển
上從之,thượng tòng chi
是月禁益兵取細弱及省减户分表牌各役,thị nguyệt cấm ích binh thủ tế nhược cập tỉnh giảm hộ phân biểu bài các dịch
秋八月化州阮福頻使其黨順義昭武等渡河侵羙裕,thu bát nguyệt hoá châu nguyễn phúc tần sử kì đảng thuận nghĩa chiêu vũ đẳng độ hà xâm mĩ dụ
社名属興元縣,xã danh thuộc hưng nguyên huyện
鄭搛敗走鄭梁整兵禦戦,trịnh kiêm bại tẩu trịnh lương chỉnh binh ngự chiến
其弟鄭榶陣亡,kì đệ trịnh đường trận vong
賊因逼至華園社名,tặc nhân bức chí hoa viên xã danh
統率鄭棟使黄義膠等接戦破之,thống suất trịnh đống sử hoàng nghĩa giao đẳng tiếp chiến phá chi
賊溺死者甚眾退㨿南河,tặc nịch tử giả thậm chúng thối cứ nam hà
是月命閔文蓮鄭柳鄭世卿等各率本部兵往乂安處属統領官聽隨差󰰻討賊,thị nguyệt mệnh mẫn văn liên trịnh liễu trịnh thế khanh đẳng các suất bản bộ binh vãng nghệ an xứ thuộc thống lĩnh quan thính tuỳ sai bát thảo tặc
是時賊勢猖狂阻河對壘,thị thời tặc thế xương cuồng trở hà đối luỹ
統領官富郡公,thống lĩnh quan phú quận công
鄭根特出勝筭,trịnh căn đặc xuất thắng toán
先爲形兵之勢使賊不知所僃,tiên vi hình binh chi thế sử tặc bất tri sở bị
九月十一日仍差属将黎時憲黄義膠與參視陳文󰱇潘兼全等各領将校分爲二道黄義膠等由隂功社名興元縣属廵渡河而進黎時憲等渡會統海口而進並期夜半進討,cửu nguyệt thập nhất nhật nhưng sai thuộc tướng lê thì hiến hoàng nghĩa giao dữ tham thị trần văn tuyển phan kiêm toàn đẳng các lĩnh tướng hiệu phân vi nhị đạo hoàng nghĩa giao đẳng do âm công xã danh hưng nguyên huyện thuộc tuần độ hà nhi tiến lê thì hiến đẳng độ hội thống hải khẩu nhi tiến tịnh kỳ dạ bán tiến thảo
黎明統領官富郡公鄭根親提大兵登勇决山整排陣勢堂堂耀威震武相機分差接戦,lê minh thống lĩnh quan phú quận công trịnh căn thân đề đại binh đăng dũng quyết sơn chỉnh bài trận thế đường đường diệu uy chấn vũ tương cơ phân sai tiếp chiến
時義膠兼全等先渡河分遣所属阮德忠譚景楷等往攻賊将昭武相持于悔扛處自率将校進破賊壘直扺安樂山,thời nghĩa giao kiêm toàn đẳng tiên độ hà phân khiển sở thuộc nguyễn đức trung đàm cảnh khải đẳng vãng công tặc tướng chiêu vũ tương trì vu hối giang xứ tự suất tướng hiệu tiến phá tặc luỹ trực chỉ an lạc sơn
先鋒陳公栢力戦死之,tiên phong trần công bách lực chiến tử chi
武百福黎文暿劉世賡等望見退走,vũ bách phúc lê văn hi lưu thế canh đẳng vọng kiến thoái tẩu
丁德潤阮德潤阮璜陣前戦死,đinh đức nhuận nguyễn đức nhuận nguyễn hoàng trận tiền chiến tử
賊乘勢四靣合圍,tặc thừa thế tứ diện hợp vi
于時統領官富郡公鄭根迅差麾下陳進朝吳廷椿杜曆髙曛等各率所𬋩内候兵進擊,vu thời thống lĩnh quan phú quận công trịnh căn tấn sai huy hạ trần tiến triều ngô đình xuân đỗ lịch cao huân đẳng các suất sở quản nội hậu binh tiến kích
又差水兵各隊進過江岸向賊連射自巳至申,hựu sai thuỷ binh các đội tiến quá giang ngạn hướng tặc liên xạ tự tị chí thân
賊徒敗走,tặc đồ bại tẩu
時時憲文󰱇等渡會統海口由宜春左澳社名而進奮擊賊徒,thời thời hiến văn tuyển đẳng độ hội thống hải khẩu do nghi xuân tả áo xã danh nhi tiến phấn kích tặc đồ
属将閔文蓮陣亡,thuộc tướng mẫn văn liên trận vong
枚文孝鄭柳范晟楊瓊鄭世卿等兵稍却,mai văn hiếu trịnh liễu phạm thạnh dương quỳnh trịnh thế khanh đẳng binh sảo khước
時憲文󰱇等勵兵直進破逆䧺壘放火燒其營,thì hiến văn tuyển đẳng lệ binh trực tiến phá nghịch hùng luỹ phóng hoả thiêu kì doanh
寨馳至花園属宜春縣,trại trì chí hoa viên thuộc nghi xuân huyện
賊徒望風奔潰所獲象馬噐械不可勝計,tặc đồ vọng phong bôn hội sở hoạch tượng mã khí giới bất khả thắng kế
賊收其散卒退守宜春縣?,tặc thu kì tán tốt thoái thủ nghi xuân huyện ?
是月追贈閔文蓮爲少保陳公栢爲右都督鄧郡公丁德潤爲提督翊郡公阮德潤爲提督恩郡公阮璜爲參督堅榮侯並追封爲福神立祠祭之表其陣亡也,thị nguyệt truy tặng mẫn văn liên vi thiếu bảo trần công bách vi hữu đô đốc đặng quận công đinh đức nhuận vi đề đốc dực quận công nguyễn đức nhuận vi đề đốc ân quận công nguyễn hoàng vi tham đốc kiên vinh hầu tịnh truy phong vi phúc thần lập từ tế chi biểu kì trận vong dã
貶枚文孝爲都督同知鄭柳爲提督范晟爲參督楊瓊爲署衛事,biếm mai văn hiếu vi đô đốc đồng tri trịnh liễu vi đề đốc phạm thạnh vi tham đốc dương quỳnh vi thự vệ sự
󰰾鄭世卿黎文暿劉世賡職爵,bãi trịnh thế khanh lê văn hi lưu thế canh chức tước
斬武百福,trảm võ bách phúc
並治其退走之罪而百福㔫甚也,tịnh trị kì thối tẩu chi tội nhi bách phúc tả thậm dã
先是賊黨方熾官軍久與賊,tiên thị tặc đảng phương xí quan quân cửu dữ tặc
相持,tương trì
於是統領官富郡公鄭根會諸将議曰我以國本受委專征家幹國權一爲己任乃于兹六載未底盪平我心耻之,ư thị thống lĩnh quan phú quận công trịnh căn hội chư tướng nghị viết ngã dĩ quốc bản thụ uỷ chuyên chinh gia cán quốc quyền nhất vi kỷ nhậm nãi vu tư lục tải vị để đãng bình ngã tâm sỉ chi
爾等有何計策其悉敷陳,nhĩ đẳng hữu hà kế sách kì tất phu trần
諸将皆曰明公所命敢不遵承,chư tướng giai viết minh công sở mệnh cảm bất tuân thừa
然動出萬全無逾明公勝筭,nhiên động xuất vạn toàn vô du minh công thắng toán
󰟸之各趨出,khỉnh chi các xu xuất
公栢獨後再請入見,công bách độc hậu tái thỉnh nhập kiến
統領官富郡公鄭根召詣密室,thống lĩnh quan phú quận công trịnh căn triệu nghệ mật thất
栢因進言曰今欲破賊自非赴蹈湯火出入危險何以成取勝之功若人人誇説虚辭鮮克有濟,bách nhân tiến ngôn viết kim dục phá tặc tự phi phó đạo thang hoả xuất nhập nguy hiểm hà dĩ thành thủ thắng chi công nhược nhân nhân khoa thuyết hư từ tiển khắc hữu tế
統領官富郡公鄭根曰汝意欲何如栢曰吝山在宜春縣乃,thống lĩnh quan phú quận công trịnh căn viết nhữ ý dục hà như bách viết lận sơn tại nghi xuân huyện nãi
必爭之地先得吝山則賊易破矣,tất tranh chi địa tiên đắc lận sơn tắc tặc dị phá hĩ
統領官富郡公鄭根曰我常登勇决山熟觀形勢每属意於此,thống lĩnh quan phú quận công trịnh căn viết ngã thường đăng dũng quyết sơn thục quan hình thế mỗi thuộc ý ư thử
今汝所言正掌中火字也,kim nhữ sở ngôn chính chưởng trung hoả tự dã
栢因請爲先鋒,bách nhân thỉnh vi tiên phong
統領官富郡公鄭根嘉其志而許之,thống lĩnh quan phú quận công trịnh căn gia kì chí nhi hứa chi
及大兵渡河栢獨先至吝山,cập đại binh độ hà bách độc tiên chí lận sơn
賊見兵寡悉眾圍之,tặc kiến binh quả tất chúng vi chi
栢冐刃决戦尋遇害,bách mạo nhận quyết chiến tầm ngộ hại
栢爲人峻烈然慷慨有膽畧,bách vi nhân tuấn liệt nhiên khảng khái hữu đảm lược
時人莫不惜之,thời nhân mạc bất tích chi
栢懿安添禄陳奉賜姓鄭,bách ý an thiêm lộc trần phụng tứ tính trịnh
人,nhân
姓冬十月命鄭榩與陳良儒黎尊鄭樸鄭威范福添鄭楦髙𣆴等往乂安属佐國營統領官聽隨差󰰻討賊,tính đông thập nguyệt mệnh trịnh kiền dữ trần lương nho lê tôn trịnh phác trịnh uy phạm phúc thiêm trịnh tuyên cao diên đẳng vãng nghệ an thuộc tá quốc dinh thống lĩnh quan thính tuỳ sai bát thảo tặc
差黎仕,sai lê sĩ
澈爲佐國營參視鄭世濟爲副參視胡士揚爲中匡軍營督視申璿爲左内軍營督視中匡鄭棟營號左内鄭榩營號,triệt vi tá quốc dinh tham thị trịnh thế tế vi phó tham thị hồ sĩ dương vi trung khuông quân dinh đốc thị thân toàn vi tả nội quân dinh đốc thị trung khuông trịnh đống dinh hiệu tả nội trịnh kiền dinh hiệu
命天下築天里路以便往來,mệnh thiên hạ trúc thiên lý lộ dĩ tiện vãng lai
十一月十七日統領官富郡公鄭根差属将黎時憲黄義膠參視黎仕澈阮䏻紹等分道討賊,thập nhất nguyệt thập thất nhật thống lĩnh quan phú quận công trịnh căn sai thuộc tướng lê thì hiến hoàng nghĩa giao tham thị lê sĩ triệt nguyễn năng thiệu đẳng phân đạo thảo tặc
時憲仕澈由海岸經剛澗地方社名属宜春縣而進義膠䏻紹等由陸道經巄鄒幔長地方社名属天禄縣而進,thì hiến sĩ triệt do hải ngạn kinh cương giản địa phương xã danh thuộc nghi xuân huyện nhi tiến nghĩa giao năng thiệu đẳng do lục đạo kinh lung trâu mạn trường địa phương xã danh thuộc thiên lộc huyện nhi tiến
又令諸道統率督率各整本属兵晝夜効力奮迅四靣攻擊,hựu lệnh chư đạo thống suất đốc suất các chỉnh bản thuộc binh trú dạ hiệu lực phấn tấn tứ diện công kích
金皷震天,kim cổ chấn thiên
賊勢紛紛紜紜不知措手,tặc thế phân phân vân vân bất tri thố thủ
十八日時憲仕澈等破賊于安恬地方社名属天禄縣,thập bát nhật thì hiến sĩ triệt đẳng phá tặc vu an điềm địa phương xã danh thuộc thiên lộc huyện
十九日時憲仕澈義膠能紹等會兵進擊復破賊黨于芙蒥上社名属天禄縣,thập cửu nhật thì hiến sĩ triệt nghĩa giao năng thiệu đẳng hội binh tiến kích phục phá tặc đảng vu phù trầu thượng xã danh thuộc thiên lộc huyện
将士乘勝奮擊又大破之斬賊首級者甚眾收得賊象馬噐械不可勝計,tướng sĩ thừa thắng phấn kích hựu đại phá chi trảm tặc thủ cấp giả thậm chúng thu đắc tặc tượng mã khí giới bất khả thắng kế
